crn, instructorFirstName, instructorLastName
69940,M,Cattai de Godoy
10258,,
10264,,
55549,B,Ritchison
71424,J,Polk
65489,N,Cox
38862,K,Maldonado
37051,E,Kramer
37052,E,Kramer
37053,E,Kramer
37050,E,Kramer
41785,K,Bishop
57508,,
38393,B,Rosenstock
75166,J,Desmond
34312,A,LoBue
63937,P,Jelinek
75173,G,Rosas
43175,H,Silverman
31310,H,Silverman
10268,,
50091,J,Brinkworth
64892,J,Martin
53616,K,Kramer
31323,C,Fennell
31325,C,Fennell
31326,C,Fennell
43140,A,Orta
43141,A,Orta
43143,A,Orta
43137,A,Orta
39283,L,Konigsberg
61404,C,Hughes
62039,R,Malhi
73856,K,Maldonado
64768,N,Erten
71547,A,Ozcan
51980,L,Lucero
67733,L,Konigsberg
67734,L,Konigsberg
68930,L,Konigsberg
75179,L,Konigsberg
75180,L,Konigsberg
59720,C,Roseman
73478,C,Roseman
58066,C,Roseman
70290,G,Rosas
72157,E,Kramer
64771,N,Erten
10274,,
10287,,
12238,K,Bishop
72447,J,Brinkworth
40274,J,Polk
39296,J,Polk
51098,E,Moodie
51097,E,Moodie
51099,A,Orta
29925,A,Orta
10292,,
10294,,
10298,,
10301,,
46548,H,Silverman
46547,H,Silverman
40280,C,Fennell
39301,C,Fennell
55876,N,Lira
55875,N,Lira
75406,J,Martin
69812,,
10284,,
10304,,
10310,,
67739,V,Dominguez
57622,,
31328,S,Ambrose
43119,K,Smalls
48223,J,Hummel
43528,K,Clancy
62809,V,Dominguez
10319,,
10327,,
72313,,
54547,E,Saadah
31363,M,Mohamed
31367,H,Ahyad
41998,M,Layek
59862,J,El Karkafi
43936,J,El Karkafi
42607,J,El Karkafi
29938,E,Saadah
57111,W,Abdulla
69456,H,Ahyad
67803,H,Ahyad
70685,A,Bliss
70686,A,Bliss
70684,A,Bliss
10337,,
70257,M,Boubekri
29940,H,Grossman
29944,R,Deutsch
29941,R,Deutsch
70092,A,Melgarejo De Berry
70747,A,Melgarejo De Berry
70750,A,Melgarejo De Berry
67819,C,Bollo
71526,C,Bollo
67821,C,Bollo
71850,L,Cobb
71851,S,Bartumeus Ferre
71852,R,Vidal
71853,S,Serrat
71854,M,Sabate Giner
71855,C,Marcos
71856,A,Dharwadker
73689,B,Bross
73693,P,Swiatek
10340,,
10346,,
29972,H,Grossman
43713,T,Johnson
39900,K,Anthony
71522,A,Aminmansour
71523,A,Aminmansour
72160,A,Aminmansour
72162,A,Aminmansour
71521,A,Aminmansour
71892,M,Boubekri
71893,M,Boubekri
72008,M,Boubekri
73706,M,Boubekri
71891,M,Boubekri
46176,C,Lewis
72878,L,Cobb
72879,S,Murray
72880,M,Taylor
72881,M,Barinas Uribe
72882,R,Deutsch
72883,T,Johnson
72884,T,Loew
73694,D,Staback Rodriguez
72579,A,Bliss
72580,A,Bliss
72577,A,Bliss
72463,A,Bliss
72572,A,Melgarejo De Berry
72573,A,Melgarejo De Berry
72571,A,Melgarejo De Berry
72471,A,Melgarejo De Berry
65274,C,Lewis
31375,,
71771,C,Bollo
76291,,
67882,S,Krishnan
68382,S,Krishnan
68383,S,Krishnan
67824,S,Krishnan
69530,A,Aminmansour
30917,M,Uihlein
30918,M,Uihlein
39904,,
30024,S,Krishnan
75405,,
36894,,
55654,,
36861,E,Hemingway
36868,P,Kapp
36872,A,Melgarejo De Berry
30034,,
56061,,
50821,L,Cobb
36900,R,Hammann
36901,Y,Yi
30036,P,Armstrong
47918,D,Chasco
56064,B,Bognar
56065,K,Hinders
55303,A,Lapunzina
75392,R,Planas Casado
62257,D,Chasco
68943,S,Murray
49723,E,Hemingway
72226,Y,Yi
75394,B,Bognar
75393,N,Frankowski
75461,M,Taylor
74035,B,Bross
43736,K,Hinders
70896,C,Lewis
60588,J,Stallmeyer
60590,J,Stallmeyer
60592,J,Stallmeyer
62336,J,Stallmeyer
55619,J,Stallmeyer
55659,D,Ruggles
57149,,
30041,,
63431,K,Hinders
31390,,
73695,R,Strand
75391,M,Boubekri
31403,,
41799,,
67454,,
10349,,
62794,A,Holcombe
65450,I,Meares
66667,I,Meares
74020,I,Meares
36933,S,Travis
36938,S,Travis
36945,S,Travis
36941,S,Travis
54144,S,Travis
54145,S,Travis
54147,S,Travis
54148,S,Travis
36924,S,Travis
65459,C,Jones
71916,C,Jones
65461,B,Hudson
65462,C,Wiesener
73197,G,Xu
31203,B,Hudson
31205,B,Hudson
72005,C,Wiesener
10355,,
31170,S,Reyes
64968,,
69922,J,Kendall
69923,J,Kendall
69919,A,Sibrian Mai
69920,A,Sibrian Mai
52069,S,Sethi
52058,,
65296,S,Sethi
66146,J,Salamanca Garcia
66147,,
68333,E,Benson
68480,S,Robinson
65297,J,Kendall
66160,S,Raheel
66559,S,Raheel
66696,Z,Zhang
62368,D,Weightman
68924,,
68925,,
68926,N,Thomas
75045,,
66148,S,Ruecker
67365,S,Ruecker
70043,S,Ruecker
71656,S,Ruecker
54167,S,Raheel
54168,S,Shin
73023,J,Salamanca Garcia
73024,,
73025,L,Mercer
75893,,
51747,,
66149,L,Mercer
66152,,
66154,J,Salamanca Garcia
66155,E,Benson
68452,,
75894,,
75895,,
66157,E,Benson
73030,N,Thomas
75047,,
10375,,
62546,,
54169,D,Weightman
54170,S,Sethi
67833,S,Shin
63745,S,Sethi
71653,L,Mercer
71782,L,Mercer
71654,N,Thomas
71655,A,Sibrian Mai
75896,S,Robinson
10374,,
63133,S,Sethi
63132,S,Sethi
54172,D,Weightman
75112,J,Kendall
72480,D,McDonagh
10376,,
39853,M,Briggs
10386,,
47898,B,Smith
30093,J,Bergmark
47897,J,Bergmark
65152,J,Bergmark
54036,B,Smith
30101,L,Hetrick
48727,B,Allen
10367,,
30111,J,Bergmark
61370,J,Bergmark
61368,J,Bergmark
10365,,
49914,J,Lucero
51767,S,Travis
10370,,
36972,L,Hetrick
70480,L,Hetrick
10372,,
31200,J,Lucero
36986,J,Ross
36989,J,Ross
69929,K,Bazzell-Smith
70410,S,Hudson
10377,,
70000,S,Cochran
70001,L,Rosenthal
70002,K,Mitchell
70003,S,Richter
70004,S,Cochran
70005,K,Mitchell
74523,S,Richter
74524,L,Rosenthal
69999,L,Rosenthal
72053,B,Kaufman
49043,K,Romberg
49017,E,Reitz
51155,O,Vazquez
48337,,
10382,,
39447,A,Augoustakis
10379,,
10381,,
10383,,
47738,,
12454,L,Rosenthal
72550,,
48131,K,Romberg
10384,,
30121,E,Reitz
10385,,
75170,K,Gunji
74959,J,Gunji-Ballsrud
75168,J,Gunji-Ballsrud
75220,L,Stirek
75169,L,Stirek
75222,J,Gunji-Ballsrud
30122,S,Vize
67801,G,Montgomery
31164,M,Pokorny
55810,C,Wiesener
74305,S,Becker
73189,C,Vincenzi
75135,S,Becker
70040,C,Jones
69926,K,Hodgin Jones
69927,C,Bianchi Geisse
70041,D,Weaver
76042,C,Bianchi Geisse
69928,K,Hodgin Jones
70042,B,Grosser
31244,E,Crimmel
70035,N,Grimes
31248,S,Hudson
73198,K,Ward
73199,G,Xu
73200,L,Batten
75085,R,Fein-Smolinski
73201,R,Fein-Smolinski
75028,R,Fein-Smolinski
31272,,
70036,S,Turchan
75031,K,Hair
73158,C,Vincenzi
71877,P,Hammie
73203,L,Batten
73205,G,Xu
73076,K,Hodgin Jones
10362,,
70317,E,Lingscheit
70316,E,Lingscheit
51740,D,Weaver
43741,D,Weaver
57606,R,Griffis
39858,R,Griffis
74904,L,Hogin
30197,L,Hogin
55685,P,Hammie
73206,L,Batten
10360,,
10363,,
75305,P,Hammie
10378,,
10364,,
41683,B,Grosser
31276,E,Lingscheit
50537,R,Griffis
74191,P,Serafini
74057,,
69931,P,Cole
70483,W,Chong
70484,W,Chong
70485,W,Chong
76209,C,Freiji
70512,,
70514,,
70511,A,Stepanov
69943,,
69947,A,Hinkkanen
72178,A,Hinkkanen
70518,,
70519,,
70516,,
70517,,
70524,R,Zhu
70526,R,Zhu
73350,T,Park
73351,T,Park
69950,C,Freiji
69946,P,Cole
69949,P,Cole
71347,F,Quan
71729,,
69944,R,Sowers
71728,R,Feng
70736,F,Liang
70737,F,Liang
71348,C,Freiji
69945,F,Quan
76208,P,Serafini
70925,C,Freiji
38467,,
38481,,
38505,,
38427,,
38435,,
38438,,
38455,A,Newman
10388,,
10390,,
10392,,
31278,A,Winans
58800,A,Winans
37115,A,Winans
37117,A,Winans
37118,A,Winans
37120,A,Winans
37122,A,Winans
37124,A,Winans
36991,A,Winans
