courseDept,courseNum,id,type
CEE,340,2,PREREQ
CEE,340,3,PREREQ
CEE,350,0,PREREQ
CEE,350,0,COREQ
CEE,360,0,PREREQ
CEE,380,0,PREREQ
CEE,401,0,PREREQ
CEE,405,0,PREREQ
CEE,406,0,PREREQ
CEE,408,0,PREREQ
CEE,409,0,PREREQ
CEE,410,0,PREREQ
CEE,411,0,PREREQ
CEE,415,0,PREREQ
CEE,416,0,PREREQ
CEE,418,0,PREREQ
CEE,420,0,PREREQ
CEE,421,0,PREREQ
CEE,422,0,PREREQ
CEE,424,0,PREREQ
CEE,430,0,PREREQ
CEE,433,0,PREREQ
CEE,434,0,PREREQ
CEE,434,1,PREREQ
CEE,437,0,PREREQ
CEE,437,0,COREQ
CEE,440,0,PREREQ
CEE,442,0,PREREQ
CEE,443,0,PREREQ
CEE,444,0,PREREQ
CEE,446,0,PREREQ
CEE,446,0,COREQ
CEE,449,0,PREREQ
CEE,450,0,PREREQ
CEE,451,0,PREREQ
CEE,452,0,PREREQ
CEE,453,0,PREREQ
CEE,457,0,PREREQ
CEE,457,1,PREREQ
CEE,460,0,PREREQ
CEE,461,0,PREREQ
CEE,462,0,PREREQ
CEE,463,0,PREREQ
CEE,467,0,PREREQ
CEE,468,0,PREREQ
CEE,469,0,PREREQ
CEE,470,0,PREREQ
CEE,471,0,PREREQ
CEE,471,1,PREREQ
CEE,472,0,PREREQ
CEE,472,1,PREREQ
CEE,472,2,PREREQ
CEE,480,0,PREREQ
CEE,483,0,PREREQ
CEE,491,0,PREREQ
CEE,501,0,PREREQ
CEE,501,1,PREREQ
CEE,502,0,PREREQ
CEE,503,0,PREREQ
CEE,504,0,PREREQ
CEE,506,0,PREREQ
CEE,507,0,PREREQ
CEE,508,0,PREREQ
CEE,509,0,PREREQ
CEE,512,0,PREREQ
CEE,512,1,PREREQ
CEE,517,0,PREREQ
CEE,524,0,PREREQ
CEE,524,1,PREREQ
CEE,524,2,PREREQ
CEE,526,0,PREREQ
CEE,527,0,PREREQ
CEE,534,0,PREREQ
CEE,534,1,PREREQ
CEE,534,2,PREREQ
CEE,535,0,PREREQ
CEE,535,1,PREREQ
CEE,537,0,COREQ
CEE,537,1,COREQ
CEE,538,0,PREREQ
CEE,538,1,PREREQ
CEE,538,0,COREQ
CEE,540,0,PREREQ
CEE,543,0,PREREQ
CEE,544,0,PREREQ
CEE,545,0,PREREQ
CEE,545,1,PREREQ
CEE,546,0,PREREQ
CEE,546,1,PREREQ
CEE,548,0,PREREQ
CEE,548,1,PREREQ
CEE,550,0,PREREQ
CEE,551,0,PREREQ
CEE,552,0,PREREQ
CEE,552,1,PREREQ
CEE,553,0,PREREQ
CEE,554,0,PREREQ
CEE,555,0,PREREQ
CEE,555,1,PREREQ
CEE,557,0,PREREQ
CEE,557,1,PREREQ
CEE,559,0,PREREQ
CEE,560,0,PREREQ
CEE,561,0,PREREQ
CEE,562,0,PREREQ
CEE,562,1,PREREQ
CEE,562,2,PREREQ
CEE,570,0,PREREQ
CEE,571,0,PREREQ
CEE,572,0,PREREQ
CEE,573,0,PREREQ
CEE,574,0,PREREQ
CEE,574,1,PREREQ
CEE,575,0,PREREQ
CEE,576,0,PREREQ
CEE,576,1,PREREQ
CEE,577,0,PREREQ
CEE,577,1,PREREQ
CEE,580,0,COREQ
CEE,582,0,PREREQ
CEE,583,0,PREREQ
CEE,585,0,PREREQ
CEE,586,0,PREREQ
CEE,586,1,PREREQ
CEE,587,0,PREREQ
CEE,588,0,PREREQ
CEE,588,1,PREREQ
CEE,589,0,PREREQ
CEE,590,0,PREREQ
CEE,590,1,PREREQ
CEE,591,0,PREREQ
CHBE,121,0,PREREQ
CHBE,221,0,PREREQ
CHBE,221,0,COREQ
CHBE,321,0,PREREQ
CHBE,321,1,PREREQ
CHBE,421,0,PREREQ
CHBE,421,1,PREREQ
CHBE,422,0,PREREQ
CHBE,422,1,PREREQ
CHBE,430,0,PREREQ
CHBE,430,0,COREQ
CHBE,431,0,PREREQ
CHBE,431,0,COREQ
CHBE,440,0,PREREQ
CHBE,440,1,PREREQ
CHBE,451,0,PREREQ
CHBE,451,1,PREREQ
CHBE,452,0,PREREQ
CHBE,456,0,PREREQ
CHBE,456,1,PREREQ
CHBE,456,0,COREQ
CHBE,472,0,PREREQ
CHBE,472,1,PREREQ
CHBE,472,2,PREREQ
CHBE,472,3,PREREQ
CHBE,472,4,PREREQ
CHBE,472,5,PREREQ
CHBE,472,6,PREREQ
CHBE,474,0,PREREQ
CHBE,474,1,PREREQ
CHBE,525,0,PREREQ
CHBE,553,0,PREREQ
CHBE,565,0,PREREQ
CHBE,571,0,PREREQ
CHBE,571,1,PREREQ
CHBE,571,2,PREREQ
CHBE,572,0,PREREQ
CHBE,580,0,PREREQ
CHBE,580,1,PREREQ
CHEM,105,0,PREREQ
CHEM,105,1,PREREQ
CHEM,108,0,COREQ
CHEM,202,0,COREQ
CHEM,222,0,PREREQ
CHEM,222,1,PREREQ
CHEM,223,0,COREQ
CHEM,232,0,PREREQ
CHEM,233,0,COREQ
CHEM,237,0,COREQ
CHEM,312,0,PREREQ
CHEM,317,0,PREREQ
CHEM,332,0,PREREQ
CHEM,332,1,PREREQ
CHEM,420,0,PREREQ
CHEM,436,0,PREREQ
CHEM,436,1,PREREQ
CHEM,438,0,PREREQ
CHEM,442,0,PREREQ
CHEM,444,0,PREREQ
CHEM,451,0,PREREQ
CHEM,460,0,PREREQ
CHEM,460,1,PREREQ
CHEM,460,2,PREREQ
CHEM,474,0,PREREQ
CHEM,483,0,PREREQ
CHEM,516,0,PREREQ
CHEM,518,0,PREREQ
CHEM,520,0,PREREQ
CHEM,520,1,PREREQ
CHEM,520,2,PREREQ
CHEM,530,0,PREREQ
CHEM,534,0,PREREQ
CHEM,540,0,PREREQ
CHEM,542,0,PREREQ
CHEM,548,0,PREREQ
CHIN,202,0,PREREQ
CHIN,203,0,PREREQ
CHIN,204,0,PREREQ
CHIN,305,0,PREREQ
CHIN,306,0,PREREQ
CHIN,407,0,PREREQ
CHIN,408,0,PREREQ
CHIN,440,0,PREREQ
CHIN,441,0,PREREQ
CHLH,304,0,PREREQ
CHLH,409,0,PREREQ
CHLH,410,0,PREREQ
CHLH,469,0,PREREQ
CHLH,550,0,PREREQ
CHLH,576,0,PREREQ
CHLH,576,1,PREREQ
CHLH,585,0,PREREQ
CHLH,585,1,PREREQ
CHLH,585,2,PREREQ
CHLH,593,0,PREREQ
CHLH,593,1,PREREQ
CHLH,593,2,PREREQ
CI,403,0,PREREQ
CI,404,0,PREREQ
CI,406,0,PREREQ
CI,407,0,PREREQ
CI,420,0,PREREQ
CI,420,1,PREREQ
CI,421,0,PREREQ
CI,430,0,PREREQ
CI,431,0,PREREQ
CI,432,0,PREREQ
CI,444,0,PREREQ
CI,445,0,PREREQ
CI,451,0,PREREQ
CI,466,0,PREREQ
CI,472,0,PREREQ
CI,476,0,PREREQ
CI,477,0,PREREQ
CI,489,0,PREREQ
CI,504,0,PREREQ
CI,506,0,PREREQ
CI,506,1,PREREQ
CI,517,0,PREREQ
CI,517,1,PREREQ
CI,519,0,PREREQ
CI,567,0,PREREQ
CI,568,0,PREREQ
CI,570,0,PREREQ
CI,570,1,PREREQ
CI,576,0,PREREQ
CI,577,0,PREREQ
CI,577,1,PREREQ
CLCV,206,0,PREREQ
CMN,112,0,PREREQ
CMN,211,0,PREREQ
CMN,215,0,PREREQ
CMN,320,0,PREREQ
CMN,323,0,PREREQ
CMN,411,0,PREREQ
CMN,412,0,PREREQ
CMN,435,0,PREREQ
CPSC,352,0,PREREQ
CPSC,415,0,PREREQ
CPSC,418,0,PREREQ
CPSC,426,0,PREREQ
CPSC,428,0,PREREQ
CPSC,431,0,PREREQ
CPSC,437,0,PREREQ
CPSC,440,0,PREREQ
CPSC,452,0,PREREQ
CPSC,453,0,PREREQ
CPSC,453,1,PREREQ
CPSC,454,0,PREREQ
CPSC,486,0,PREREQ
CPSC,518,0,PREREQ
CPSC,526,0,PREREQ
CPSC,526,1,PREREQ
CPSC,527,0,PREREQ
CPSC,541,0,PREREQ
CPSC,542,0,PREREQ
CPSC,554,0,PREREQ
CPSC,554,1,PREREQ
CPSC,563,0,PREREQ
CPSC,566,0,PREREQ
CPSC,566,1,PREREQ
CPSC,588,0,PREREQ
CPSC,588,1,PREREQ
