courseDept,courseNum,GPA,title
ATMS,302,2.83,Atmospheric Dynamics I
ATMS,303,2.97,Synoptic-Dynamic Wea Analysis
ATMS,304,3.04,Radiative Transfer-Remote Sens
ATMS,305,3.36,Computing and Data Analysis
ATMS,307,2.92,Climate Processes
ATMS,313,3.14,Synoptic Weather Forecasting
ATMS,314,2.92,Mesoscale Dynamics
ATMS,315,3.96,Meteorological Instrumentation
ATMS,322,3.45,Soc Impacts Weather & Climate
ATMS,323,3.43,Air Pollution to Global Change
ATMS,391,3.48,Topics in Atmospheric Sciences
ATMS,401,3.42,Applied Meteorology
ATMS,404,3.46,Risk Analysis in Earth Science
ATMS,410,3.08,Radar Remote Sensing
ATMS,420,3.65,Atmospheric Chemistry
ATMS,421,3.61,Earth Systems Modeling
ATMS,447,3.21,Climate Change Assessment
ATMS,491,3.45,Adv Topics in Atmospheric Sci
ATMS,492,3.83,Capstone Undergraduate Research
ATMS,502,3.7,Numerical Fluid Dynamics
BADM,199,3.91,Undergraduate Open Seminar
BADM,210,3.48,Business Analytics I
BADM,211,3.66,Business Analytics II
BADM,261,3.97,Technology & Mgmt Seminar
BADM,275,3.52,Fundamentals of Operations Management
BADM,300,3.3,The Legal Environment of Bus
BADM,310,3.47,Mgmt and Organizational Beh
BADM,311,3.55,Leading Individuals and Teams
BADM,312,3.47,Designing and Managing Orgs
BADM,313,3.48,Strategic Human Resource Management
BADM,314,3.46,Leading Negotiations
BADM,320,3.71,Principles of Marketing
BADM,321,3.63,Principles of Retailing
BADM,322,3.58,Marketing Research
BADM,323,3.6,Marketing Communications
BADM,324,3.74,Purchasing and Supply Mgmnt
BADM,325,3.69,Consumer Behavior
BADM,326,3.6,Pricing Strategy
BADM,327,3.73,Marketing to Business and Govt
BADM,329,3.69,New Product Development
BADM,330,3.9,Brand Management
BADM,335,3.56,Supply Chain Management Basics
BADM,336,3.57,Modeling the Supply Chain
BADM,337,3.83,Practicum in Supply Chain Mgt
BADM,340,3.69,Ethical Dilemmas of Business
BADM,350,3.54,IT for Networked Organizations
BADM,351,3.8,E-Business Management
BADM,352,3.46,Database Design and Management
BADM,353,3.6,Info Sys Analysis and Design
BADM,356,3.73,Data Science and Analytics
BADM,359,3.87,Business Problem Formulation and Solution
BADM,365,3.83,New Product Marketing
BADM,366,3.9,Product Design and Development
BADM,367,3.71,Mgmt of Innov and Technology
BADM,374,3.43,Management Decision Models
BADM,375,3.31,Operations Management
BADM,377,3.35,Project Management
BADM,378,3.13,Logistics Management
BADM,379,3.32,Business Process Improvement
BADM,380,3.64,International Business
BADM,381,3.75,Multinational Management
BADM,382,3.69,International Marketing
BADM,394,3.98,Senior Research I
BADM,395,3.62,Senior Research II
BADM,403,3.56,Corporate & Commercial Law
BADM,420,3.81,Advanced Marketing Management
BADM,445,3.74,Small Business Consulting
BADM,446,3.67,Entrepreneurship: New Venture Creation
BADM,449,3.64,Business Policy and Strategy
BADM,453,3.81,Business Intelligence
BADM,460,3.64,Business Process Modeling
BADM,461,3.98,"Tech, Eng, & Mgt Final Project"
BADM,501,3.71,Introduction to Business
BADM,508,3.61,Leadership and Teams
BADM,509,3.7,Managing Organizations
BADM,514,3.65,Managing Innovation
BADM,520,3.77,Marketing Management
BADM,521,3.69,Marketing Strategy
BADM,524,3.77,Pricing Strategy and Tactics
BADM,525,3.58,New Product Development
BADM,528,3.6,Promotional Strategy
BADM,529,3.75,Marketing Research
BADM,532,3.93,Sustainable Product Design & Enterprise Plan Development - I: Bottom-Up Immersion & Design
BADM,540,3.93,Frontiers in Technology
BADM,543,3.56,Technology Strategy
BADM,544,3.53,Strategic Management
BADM,550,3.73,Technology Practicum
BADM,551,3.75,Managing Intellectual Property
BADM,552,3.8,Legal Aspects of Mgt Decisions
BADM,553,3.55,Ethical Dilemmas in Business
BADM,554,3.24,Enterprise Database Management
BADM,555,3.7,Info Sys Development and Mgt
BADM,556,3.89,Electronic Commerce
BADM,557,3.78,Dec Support and Knowledge Mgt
BADM,559,3.76,Enterprise IT Governance
BADM,562,3.85,Social Media Strategy
BADM,564,3.52,Business Process Improvement
BADM,566,3.44,Supply Chain Management
BADM,567,3.55,Process Management
BADM,572,3.59,Stat for Mgt Decision Making
BADM,573,3.52,Decision Analytics
BADM,574,3.55,Simulation and Risk Analysis
BADM,576,3.77,Data Science and Analytics
BADM,577,3.71,Predictive Data Analytics
BADM,582,3.75,Multinational Management
BADM,583,3.74,Current Topics in Intl Bus
BADM,584,3.69,Global Marketing
BADM,586,3.9,Intl Comparative Management
BADM,588,3.89,Business Practice Immersion
BADM,589,3.5,Project Management
